Country,City
Austria,GRAZ
Austria,LINZ
Austria,Vienna
Austria,Vienna
Belgium,ANTWERPEN
Belgium,BRUGGE
Belgium,BRUXELLES
Belgium,HASSELT / LIMBURG
Belgium,KORTRIJK-BRUGES
Belgium,Leuven
Belgium,Leuven
Belgium,LEUVEN
Belgium,LIEGE
Belgium,LIÉGE
Belgium,MONS
Belgium,NAMUR
Bulgaria,BLAGOEVGRAD
Bulgaria,ROUSSE
Bulgaria,SOFIA
Bulgaria,VARNA
Bulgaria,VELIKO TURNOVO
Bulgaria,VELIKO-TURNOVO
Croatia,KOPRIVNICA
Croatia,OSIJEK
Croatia,PULA
Croatia,RIJEKA
Croatia,SPLIT
Croatia,ZAGREB
Czech Republic,BRNO
Czech Republic,České Budějovice
Czech Republic,HRADEC KRALOVE
Czech Republic,LIBEREC
Czech Republic,MASARYK
Czech Republic,OLOMOUCI
Czech Republic,Opava
Czech Republic,OSTRAVA
Czech Republic,PARDUBICE
Czech Republic,Prague
Czech Republic,ZLIN
Denmark,AARHUS
Denmark,Copenhagen
Denmark,ODENSE
Denmark,ROSKILDE
Estonia,Tallinn
Estonia,TARTU
Finland,ABO
Finland,ALAND
Finland,JOENSUU
Finland,Jyväskylä
Finland,KUOPIO
Finland,LAPLAND
Finland,OULU
Finland,PORI
Finland,Seinäjoki
Finland,TAMPERE
France,ANNECY
France,ANTILLES ET GUYANE
France,Besançon
France,Besançon
France,Besançon
France,BORDEAUX
France,BOURGES
France,BREST
France,CAEN
France,CAYENNE (GUAYANA FRANCESA)
France,CERGY
France,CHAMBERY
France,CLERMONT-FERRAND
France,DIJON
France,GRENOBLE
France,LA REUNION
France,LA ROCHELLE
France,LILLE
France,LIMOGES
France,LYON
France,MARSEILLE
France,MONTPELLIER
France,NANTES
France,PARIS
France,PERPIGNAN
France,POINTE À PITRE (CEDEX) GUADELOUPE
France,POINTE_A_PITRE
France,POITIERS
France,ROUEN
France,STRASBOURG
France,TOULOUSE
France,TOURS
Germany,ALFTER
Germany,BERLÍN
Germany,BIELEFELD
Germany,BOCHUM
Germany,BONN
Germany,"BONN  "
Germany,Bremen
Germany,BREMEN
Germany,BREMERHAVEN
Germany,BRUHL
Germany,CHEMNITZ
Germany,Cologne
Germany,Cologne
Germany,DEGGENDORF
Germany,DRESDEN
Germany,DUSSELDORF
Germany,EICHSTATT
Germany,ELMSHORN
Germany,EMDEN
Germany,ERFURT
Germany,ERLANGER
Germany,FLENSBURG
Germany,FRANKFURT
Germany,FRANKFURT        AM MAIN
Germany,FRANKFURT        AM ODER
Germany,FREIBURG
Germany,FREISIN
Germany,FULDA
Germany,GOTTINGEN
Germany,GÖTTINGEN
Germany,GREIFSWALD
Germany,HAGEN
Germany,HALLE
Germany,HAMBURG
Germany,HANNOVER
Germany,HEGEN
Germany,HEIDELBERG
Germany,HILDESHEIM
Germany,HILDESHIEM
Germany,KAISERSLAUTERN
Germany,KARLSRUHE
Germany,KEMPTEN
Germany,KIEL
Germany,KLEVE
Germany,KOBLENZ-LANDAU
Germany,KONSTANZ
Germany,LANDSHUT
Germany,LEIPZIG
Germany,LUDWIGSBURG
Germany,MAGDEBURG
Germany,MAINZ
Germany,MANNHEIM
Germany,MARBURG
Germany,MARGURGO
Germany,MERSEBURG
Germany,Munich
Germany,Munich
Germany,Munich
Germany,MUNSTER
Germany,MÜNSTER
Germany,NURNBERG
Germany,OSNABRUCK
Germany,PADERBORN
Germany,PASSAU
Germany,Potsdam
Germany,ROSTOCK
Germany,SAARBRUCKEN
Germany,TRIER
Germany,Tübingen
Germany,ULM
Germany,WÜRZBURG
Greece,Athens
Greece,Athens
Greece,CHANIA
Greece,EPIRUS
Greece,IOANNINA
Greece,MYTILENE
Greece,PATRAS
Greece,RETHYMNO
Greece,THESSALONIKI
Hungary,SOPRON
Hungary,SZEGED
Ireland,CORK
Ireland,DUBLIN
Ireland,LIMERICK
Ireland,MAYNOOTH
Italy,ANCONA
Italy,BERGAMO
Italy,BOLOGNA
Italy,CAGLIARI
Italy,CAMERINO
Italy,CARRARA
Italy,CASERTA
Italy,CATANIA
Italy,CHIETI
Italy,COSENZA
Italy,ENNA
